SiteName,Region,Period,TombID,BronzePeriod,NoInterRegionalPotImports,InterRegionalPotImportDesc,NoInternPotImports,InternPotImportsDesc,NoLocalPots,LocalPotsDesc,NoRitualItems,RitualItemDesc,NoFeastingSpecial,FeastingSpecialDesc,NoCuLocalArtifacts,CuLocalArtifactsDesc,NoBrzArtifacts,BrzArtifactsDesc,NoOtherMetalImports,OtherMetalImportsDesc,NoAnimalBone,AnimalBoneDesc,NoOtherInterRegionalImport,OtherInterRegionalImportDesc,NoOtherInternationalImport,OtherInternationalImportDesc,NoOtherLocalGoods,OtherLocalGoodsDesc,NoIntraRegionalPotImport,IntraRegionalImportPotDesc,NoIntraRegionalImport,IntraRegionalImportDesc,NoLocalPicrolite,PicroliteDesc,NoPicroliteImport,NoTombdecor,MetalMakingSupIconDesc,TotalPots,TotalIntraRegionalGoods,TotalInterRegionalGoods,TotalInternationalGoods,TotalIdeology,TotalMinerals,TotalMetals,TotalLocal,TotalArtifacts,TotalImports,TotalFeasting,TotalLocalImport
Bellapais Vounous,North,PreBA 2,21,ECIII,5,"BP bowl 3
BP juglet 1
BP bottle 1",0,,27,"RP BT bowl 9
RP bowl 1
RP amphora 3
RP amphoriskos 1
RP jug 9
RP juglet 2
RP cooking pot 1
WP bowl 1",0,,0,,4,"Copper based knife 1
Copper based pin 2
Copper based necklace of spiral wire 1",0,,0,,0,,0,,0,,1,Brownish flake flint 1,0,,0,,0,,0,0,,32,0,5,0,0,4,4,32,37,5,32,5
Bellapais Vounous,North,PreBA 2,22,ECIII,3,BP juglet 3,0,,30,"RP BT small bowl 14
RP bowl 3
RP bowl with two birds, cup and horned projections 1
RP bowl with horned projections on rim 1
RP amphora 1
RP jug 2
RP juglet 4
RP bottle 1
RP ring vase on 4 legs with jug, juglet, 2 cups 1
RP composite with two tubular spouted bowls 1
RP cooking pot 1",3,"RP Model of sacred enclosure 1
RP bowl with two birds, cup and horned projections 1
RP bowl with horned projections on rim 1",2,"RP ring vase on 4 legs with jug, juglet, 2 cups 1
RP composite with two tubular spouted bowls 1",3,"Copper based knife 2
Copper based scraper 1",0,,0,,0,,0,,0,,2,"Whetstone 1
RP Model of sacred enclosure 1",0,,0,,0,,0,0,,33,0,3,0,3,3,3,35,38,3,35,3
Bellapais Vounous,North,PreBA 2,26,ECIII,5,"BP small bowl 2
BP footed bowl 1
BP bottle 2",0,,90,"RP lg tubular spouted bowl 1
RP bowl 2
RP BT bowl 42
RP spouted bowl 4
RP bowl with projections on rim 1
RP small spouted bowl 1
RP amphora 10
RP jug 2
RP jug with snake ornament 6
RP juglet 15
RP cooking pot 5
WP small spouted bowl 1",6,RP jug with snake ornament 6,0,,9,"Copper based dagger/hook tang weapon 4
Copper based dagger with cloth adhering 1
Copper based knife 3
Arsenical copper scraper (tested) 1",0,,0,,0,,0,,0,,2,"Pierced whetstone 1
Grey flint flake 1",0,,0,,0,,0,0,,95,0,5,0,6,9,9,101,106,5,95,5
Bellapais Vounous,North,PreBA 2,27,"ECII, MCI",3,"BP bowl 2
BP juglet 1",0,,102,"RP lg tubular spouted bowl with snake and u shaped ornament 2
RP lg tubular spouted bowl with circle and snake 1
RP lg bowl with snake ornament 2
RP BT small bowl 43
RP BT small spouted bowl 1
RP small bowl 4
RP bowl with projections on rim 1
RP spouted bowl 2
RP small bowl 1
RP small bowl with four birds and bucranium 1
RP bowl with birds on rim 1
RP bowl with horned projections 1
RP stemmed goblet with birds 1
RP amphora 3
RP jug with snake 6
RP jug 7
RP juglet 16
RP BT bottle 3
RP bottle 1
RP composite with four cups 2
RP composite with three cups 1
WP bowl 2
BS amphora 1",15,"RP lg tubular spouted bowl with snake and u shaped ornament 2
RP lg tubular spouted bowl with circle and snake 1
RP lg bowl with snake ornament 2
RP small bowl with four birds and bucranium 1
RP bowl with birds on rim 1
RP bowl with horned projections 1
RP stemmed goblet with birds 1
RP jug with snake 6",4,"RP composite with four cups 2
RP composite with three cups 1
RP stemmed goblet with birds 1",14,"Copper based dagger/hook tang weapon 4
Copper based knife 1
Copper based knife 5
Copper based scraper 2
Copper based tweezer 1
Arsenical copper tweezer (tested) 1",1,Tin bronze knife (tested) 1,0,,0,,0,,0,,2,"Spindle whorl 1
Andesite mace-head 1",0,,0,,0,,0,0,,105,0,3,1,15,15,15,118,122,4,109,3
Bellapais Vounous,North,PreBA 2,29,ECIII,1,BP small bowl 1,0,,47,"RP bowl with snake relief 1
RP BT small bowl 18
RP BT small bowl incised 1
RP small shallow bowl 1
RP small bowl with bird projections 1
RP BT tubular spouted bowl with horned animals and snakes 1
RP BT small bowl 1
RP small bowl with projections on rim 2
RP bowl with four birds on rim 1
RP amphora 3
RP jug 11
RP jug with two cups on shoulder 1
RP juglet 2
RP ring vase with five bowl 1
RP ring vase with three bowls 1
RP composite with two bowls 1",5,"RP bowl with snake relief 1
RP small bowl with bird projections 1
RP BT tubular spouted bowl with horned animals and snakes 1
RP bowl with four birds on rim 1
BP model of dagger and sheath 1",4,"RP jug with two cups on shoulder 1
RP ring vase with five bowl 1
RP ring vase with three bowls 1
RP composite with two bowls 1",2,"Copper based knife 1
Copper based pin 1",0,,0,,0,,2,"BP spindle whorl 1
BP model of dagger and sheath 1",0,,2,"RP spindle whorl 1
RP spindle model 1",0,,0,,0,,0,0,,48,0,3,0,5,2,2,51,54,3,52,3
Bellapais Vounous,North,PreBA 2,33,ECIII,2,BP bowl 2,0,,51,"RP BT small bowl 21
RP small bowl 3
RP small spouted bowl 1
RP bowl with two cups and horned projections on rim 1
RP bowl 1
RP bowl with two horned animals on rim 1
RP jug 2
RP juglet 16
RP cooking pot 2
RP ring vase with small cup 1
RP composite four cup type 1
RP horned animal that belonged to a pot 1",3,"RP horned animal that belonged to a pot 1                   RP bowl with two cups and horned projections on rim 1
RP bowl with two horned animals on rim 1",2,"RP ring vase with small cup 1
RP composite four cup type 1",18,"Copper based dagger/hook tang weapon 3
Arsenical copper dagger/hook tang weapon (tested) 1
Copper based knife 6
Arsenical copper knife (tested) 1
Copper based pins 6
Copper based tweezer 1",1,Tin bronze pin (tested) 1,0,,0,,0,,1,Necklace of greenish paste beads 1,4,"RP spindle whorl 3
Perforated whetstone 1",0,,0,,0,,0,0,,53,0,2,2,3,19,19,73,77,4,55,2
Bellapais Vounous,North,PreBA 2,34,ECIII,4,"BP incised bowl 1
BP bottle 2
BP amphoriskos 1",0,,37,"RP lg spouted bowl 1
RP BT small bowl 17
RP small bowl 2
RP spouted bowl 1
RP amphora with idol on handle 1
RP jug with two stags, concentric circles 1
RP jug 5
RP juglet 7
RP cooking pot 1
RP askos 1",3,"RP amphora with idol on handle 1
RP jug with two stags, concentric circles 1
RP flat human figure (plank, anthropomorphic) 1",0,,4,"Copper based knife 1
Copper based pin 3",0,,0,,0,,0,,0,,0,,0,,1,"RP flat human figure (plank, anthropomorphic) 1",0,,0,0,,41,1,4,0,3,4,4,41,46,5,41,5
Bellapais Vounous,North,PreBA 2,36,"ECII, MCI",0,,0,,129,"RP lg bowl with snake ornament 2
RP lg bowl with bulls' heads, snakes 1
RP lg bowl with incised décor 1
RP lg bowl with snake ornament 4
RP lg bowl 2
RP lg tubular spouted bowl 1
RP BT small bowl 52
RP BT small incised bowl 7
RP small spouted bowl 1
RP open spouted bowl 4
RP small bowl with horned projections on rim 1
RP BT tubular spouted bowl with horned animals, snakes, small cups and projections 1
RP BT oblong spouted bowl with two birds, bull's head, snakes 1
RP small bowl with projections on rim 4
RP stemmed goblet with small projections on rim 1
RP amphora 4
RP jug 15
RP jug with three animals in relief 1
RP two-necked jug 1
RP juglet 10
RP BT bottle 3
RP BT horn 2
RP ring vase with three cups, juglet on 4 legs 1
RP cooking pot 3
Side Chamber:
RP BT small bowl 1
RP juglet 4
RP BT bottle 1",13,"RP lg bowl with snake ornament 2
RP lg bowl with bulls' heads, snakes 1
RP lg bowl with snake ornament 4
RP small bowl with horned projections on rim 1
RP BT tubular spouted bowl with horned animals, snakes, small cups and projections 1
RP BT oblong spouted bowl with two birds, bull's head, snakes 1
RP jug with three animals in relief 1
RP BT horn 2",3,"RP stemmed goblet with small projections on rim 1
RP two-necked jug 1
RP ring vase with three cups, juglet on 4 legs 1",4,"Copper based dagger blade/hook tanged weapon 1
Copper based pin 1
Copper based needle 2",0,,0,,1,Oxen bones,0,,0,,2,"RP spindle whorl 1
Bone spindle whorl 1",0,,0,,0,,0,0,,129,0,0,0,13,4,4,135,135,0,133,0
Bellapais Vounous,North,PreBA 2,37,ECIII,8,"BP bowl 4
BP juglet 1
BP bottle or juglet 3",0,,87,"RP BT small bowl 22
RP BT small incised bowl 7
RP bowl with four horned projections on rim 1
RP bowl with projections and horns 1
RP bowl 1
RP amphora 6
RP amphoriskos 1
RP jug 4
RP jug with two stags 1
RP jug with eye, nose, mouth and ears of human face 1
RP jug with two ploughing oxen 1
RP jug with snake ornament and 4 connecting juglets 1
RP jug 4
RP juglet 26
RP juglet with three necks and figure grinding on quern 1
RP juglet 1
RP bottle incised 1
RP pyxis 1
RP pyxis with birds, male, female holding hands 1
RP pyxis with birds 1
WP bowl 2
WP amphoriskos 1
WP juglet 1",10,"BP stag's head 1
RP bowl with four horned projections on rim 1
RP bowl with projections and horns 1
RP jug with two stags 1
RP jug with eye, nose, mouth and ears of human face 1
RP jug with two ploughing oxen 1
RP jug with snake ornament and 4 connecting juglets 1
RP juglet with three necks and figure grinding on quern 1
RP pyxis with birds, male, female holding hands 1
RP pyxis with birds 1",2,"RP jug with snake ornament and 4 connecting juglets 1
RP juglet with three necks and figure grinding on quern 1",5,"Arsenical copper axe (tested) 1
Copper based tweezers 1
Copper based pin 3",0,,0,,0,,1,BP stag's head 1,0,,6,"RP spindle whorl 4
Limestone spindle whorl 1
Clay loomweight 1",0,,0,,0,,0,0,,95,0,9,0,10,5,5,98,107,9,97,9
Bellapais Vounous,North,PreBA 2,38,ECIII,3,"BP bowl 1
BP juglet 1
BP bottle 1",0,,68,"RP BT small bowl 19
RP small spouted bowl 2
RP amphora 1
RP jug with snake 2
RP jug 1
RP juglet 4
RP bottle 1
RP pyxis with plank shaped figurine 1
RP composite with four jugs 1
RP cooking pot 1
WP amphora 1
Side Chamber:
RP BT small bowl 14
RP bowl 2
RP spouted bowl 3
RP amphoriskos 1
RP jug 1
RP juglet 11
RP jug 1
RP bird shaped vase 1",4,"RP jug with snake 2
RP pyxis with plank shaped figurine 1
RP bird shaped vase 1",1,RP composite with four jugs 1,1,Copper based knife 1,0,,0,,0,,0,,0,,1,Limestone macehead 1,0,,0,,0,,0,1,,71,0,3,0,4,1,1,70,73,3,72,3
Bellapais Vounous,North,PreBA 2,40,ECIII,1,BP bowl 1,0,,24,"RP small bowl 4
RP small bowl 1
RP jug 2
RP juglet 7
RP cooking pot 2
WP small bowl 1
WP amphora 1
From Platform:
RP small bowl (thin ware) 1
RP small bowl 1
RP juglet 1
WP amphora 1
RP human figurine probably from bowl 1
RP bird probably from bowl 1",2,"RP human figurine probably from bowl 1
RP bird probably from bowl 1",0,,1,Copper based pin 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,,25,0,1,0,2,1,1,25,26,1,25,1
Bellapais Vounous,North,PreBA 2,47,ECIII,0,,0,,70,"RP small tubular spouted bowl 1
RP BT small bowl 15
RP small bowl with projections on rim 1
RP small bowl incised 2
RP small bowl with open spout 2
RP amphora 9
RP jug 11
RP jug with three necks 1
RP juglet 21
RP amphoriskos 1
RP bottle 2
RP cooking pot 3
RP pyxis with two small cups and loops 1",0,,2,RP jug with three necks 1                                                   RP pyxis with two small cups and loops 1,12,"Copper based dagger/hooked tang weapon 1
Copper based knife 3
Copper based pin 5
Copper based ring 1
Copper based tweezers 2",0,,0,,0,,0,,0,,1,RP spindle whorl 1,,,0,,0,,0,0,,72,0,0,0,0,12,12,82,82,0,2,0
Bellapais Vounous,North,PreBA 2,48,ECIII,0,,0,,50,"RP lg tubular spouted bowl with u haped ornament 1
RP BT small bowl 22
RP BT small spouted bowl 1
RP small bowl 2
RP small spouted bowl 1
RP amphora 4
RP jug 5
RP jug with two necks 1
RP jug with snake ornament 1
RP juglet 9
RP pyxis 1
RP composite with four cups and female with infant 1
RP cooking pot 1",2,"RP jug with snake ornament 1
RP composite with four cups and female with infant 1",2,RP jug with two necks 1                                                      RP composite with four cups and female with infant 1,5,"Copper based dagger/hook tang weapon 2
Copper based knife 3",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,50,0,0,0,2,5,5,55,55,0,52,0
Bellapais Vounous,North,PreBA 2,49,ECIIIB-MCII,0,,0,,0,,0,,0,,1,Copper based pin 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,0,1,1,1,1,0,0,0
Bellapais Vounous,North,PreBA 2,52,ECII-MCI,2,"BP juglet or flask 1
BP bowl 1",0,,43,"RP bowl 24
RP spouted bowl 5
RP gourd juglet 5
RP spouted stemmed vessel with horn 1
RP stemmed spouted vessel with bucranium 1
RP amphora 1
RP jug 1
RP basin with snake 1
RP composite spouted bowls 1
RP spouted dish 1
RP tulip bowl 1
RP handle 1",3,"RP spouted stemmed vessel with horn 1
RP stemmed spouted vessel with bucranium 1
RP basin with snake 1",4,"RP spouted stemmed vessel with horn 1
RP stemmed spouted vessel with bucranium 1
RP composite spouted bowls 1
RP tulip bowl 1",5,"Copper based knife 3
Copper based razor 1
Copper based leaf ornament 1",1,Antimony-tin-copper alloy hook tang weapon (tested) 1,0,,1,Ruminant bones,0,,0,,0,,0,,0,,0,,0,0,,45,0,2,1,3,6,6,48,51,3,50,2
Bellapais Vounous,North,PreBA 2,53,ECIII-MCI,0,,0,,2,"RP juglet 1
WP hydria 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,2,0,0,0,0,0,0,2,2,0,2,0
Bellapais Vounous,North,PreBA 2,54,ECIII-MCI,0,,0,,112,"RP jug 11
RP Coarse amphora 2
RP bowl 42
RP Coarse bowl 1
RP lg bowl 1
RP composite vessel with only handle remaining 2
RP closed vessel 4
RP three necked jug 1
RP jug 6
RP jug with snake décor 3
RP jug with two necks, plank figure, bird, cup 1
RP double neck jug 1
RP gourd juglet 9
RP jug with relief and incised décor 1
RP store jar 5
RP juglet 3
RP amphora 4
RP gourd juglet or flask 3
RP BT bowl 2
WPIA bridge spouted bowl 1
RP composite with two bowls 1
RP dipper amphora 1
RP dipper 1
RP basin 1
RP juglet with side-spout 1
RP gourd flask 2
Coarse ware amphora 1
WP gourd juglet 1",4,"RP jug with snake décor 3
RP jug with two necks, plank figure, bird, cup 1",6,"RP composite vessel with only handle remaining 2
RP three necked jug 1
RP double neck jug 1
RP composite with two bowls 1
RP jug with two necks, plank figure, bird, cup 1",7,"Copper based knife 3
Copper based pin 3
Copper based tweezer 1",0,,0,,0,,0,,0,,1,RP spindle whorl 1,0,,0,,0,,0,0,,112,0,0,0,4,7,7,120,120,0,118,0
Bellapais Vounous,North,PreBA 2,55,MCI,0,,0,,18,"RP bowls 12
RP dish 2
RP amphora 1
RP closed vessel 1
RP gourd juglet 1
RP juglet 1",0,,0,,0,,0,,0,,0,,0,,0,,1,RP spindle whorl 1,0,,0,,0,,0,0,,18,0,0,0,0,0,0,19,19,0,18,0
Bellapais Vounous,North,PreBA 2,59,MCI,0,,0,,11,"WPII jug 1
RP jug 1
RP composite with three jugs 1
RP gourd juglet 2
RP askoid juglet 1
RP amphora 1
RP horn flask 1
RP closed vessel 1
RP lg open vessel with snake décor 1
RP open vessel with bird 1",3,"RP horn flask 1
RP lg open vessel with snake décor 1
RP open vessel with bird 1",1,RP composite with three jugs 1,4,"Copper based pin 2
Copper based tweezer 1
Copper based scraper 1",0,,1,Gold spiral ring (untested) 1,0,,0,,1,Paste beads 3 counted as 1 object,2,"Whetstone 1
RP spindle whorl 1",0,,0,,0,,0,0,,11,0,0,2,3,5,5,17,19,2,12,0
Bellapais Vounous,North,PreBA 2,60,ECIIIB-MCI,0,,0,,18,"RP jug 2
RP juglet 2
RP dish 1
RP spouted dish 3
RP basin with two bucrania 1
RP bowl 5
RP small closed vessel 1
RP Coarse amphora 1
RP store jar 1
RP spouted bowl 1",1,RP basin with two bucrania 1,0,,1,Copper based knife 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,18,0,0,0,1,1,1,19,19,0,18,0
Bellapais Vounous,North,PreBA 2,62,MCI,0,,0,,11,"RP spouted bowl 2
RP bowl 5
RP spouted dish 2
RP jug 1
RP dipper 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,11,0,0,0,0,0,0,11,11,0,11,0
Bellapais Vounous,North,PreBA 2,63,ECIII-MCI/II,2,"BP gourd flask 1
BP flask 1",0,,5,"RP gourd juglet 1
RP bowl 2
RP spouted bowl 2",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,7,0,2,0,0,0,0,5,7,2,7,2
Bellapais Vounous,North,PreBA 2,64,ECIII-MCI,10,"BP bowl 3
BP gourd flask 3
BP flask 1
BP bottle/juglet 1
BP juglet 2",1,MBIIa pithos? 1,150,"RP dipper amphora 1
RP Coarse amphora 1
RP bowl 65
RP juglet 10
RP spouted bowl 4
RP ladle 1
RP amphora 6
RP gourd juglet 18
RP bottle juglet 1
RP jug with three necks 1
WPII amphora 2
WPII amphoriskos 1
WPIIA pyxis 1
RPII jug 2
WPII bowl 1
WPIB bridge spouted bowl 1
WPIII juglet 1
WP gourd flask 1
WP jug 1
RP jug 11
Coarse ware dipper 4
RP bottle 1
RP gourd flask 4
RP composite with 2 juglets 1
RP pyxis/askos 1
RP basin 1
RP dish 2
RP spouted dish 1
RP stemmed vessel 1
RP closed vessel 1
RP juglet with two necks 1
RP composite 1
RP kernos/composite 1",1,RP plank idol 1,6,"RP jug with three necks 1
RP composite with 2 juglets 1
RP stemmed vessel 1
RP juglet with two necks 1
RP kernos/composite 1
RP composite 1",13,"Copper based knife 7
Copper based razor 2
Copper based awl/chisel 1
Copper based tweezer 1
Copper based pin 1
Copper based axe 1",0,,0,,0,,3,BP spindle whorl 3,1,Glazed beads 5 counted as 1 object,9,"RP spindle whorl 6
Bone tube 1
Macehead 1
Rubber 1",0,,1,RP plank idol 1,0,,0,0,,161,1,13,2,1,13,13,172,188,16,167,14
Bellapais Vounous,North,PreBA 2,67,ECIII,0,,0,,28,"RP bowl 7
RP tulip bowl 1
RP jug 5
RP jug with snake décor 1
RP juglet 1
RP basin 2
RP spouted bowl 2
RP amphora 4
RP dish 5",1,RP jug with snake décor 1,1,RP tulip bowl 1,4,"Copper based razor 1
Copper based knife 1
Copper based hook tang weapon 1
Copper based tweezer 1",0,,0,,1,Animal bones and teeth of ruminant (calf),0,,0,,1,Whetstone 1,0,,0,,0,,0,0,,28,0,0,0,1,4,4,33,33,0,30,0
Bellapais Vounous,North,PreBA 2,68,MCI,1,BP gourd juglet 1,1,MBIIa pithos ? 1,26,"RP gourd juglet 6
RP gourd flask 2
RP gourd juglet or flask 2
Gourd juglet or flask 1
RP bowl 7
RP jug 1
RP juglet 3
WPII amphora 1
Late WPII askos 1
Late WPII amphoriskos 1
Gourd flask 1",0,,0,,6,"Copper based knife 3
Copper based hook tang weapon 2
Copper based scraper 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,,28,0,1,1,0,6,6,32,34,2,28,1
Bellapais Vounous,North,PreBA 2,69,MCI,0,,0,,31,"Late WPIII jug 1
WPIII juglet 1
RP dipper with handle 1
RP jug 2
RP juglet 2
RP gourd juglet 3
RP dish 2
RP spouted dish 1
Bowl with handle 1
RP bowl 14
Coarse ware amphora 2
RP horn flask 1",1,RP horn flask 1,0,,2,"Copper based pin 1
Copper based knife 1",0,,0,,0,,0,,0,,1,RP spindle whorl 1,0,,0,,0,,0,0,,31,0,0,0,1,2,2,34,34,0,31,0
Bellapais Vounous,North,PreBA 2,73,ECIII,1,BP juglet 1,0,,4,"RP bowl 1
Bowl 2
RP juglet 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,5,0,1,0,0,0,0,4,5,1,5,1
Bellapais Vounous,North,PreBA 2,75,ECIIIB-MCI,0,,0,,19,"RP juglet 2
Fine ware amphora 1
RP bowl 9
RP amphora 1
RP jug 4
RP spouted bowl 1
Lg amphora 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,19,0,0,0,0,0,0,19,19,0,19,0
Bellapais Vounous,North,PreBA 2,76,ECIIIB-MCI (II),1,BP miniature juglet 1,0,,47,"Gourd juglet 1
Bowl 2
Juglet 1
RP gourd juglet 4
RP gourd flask 1
RP juglet 3
RP bowl 22
RP jug 2
RP kernos 2
RP amphoriskos 1
RP flask juglet 1
RP or BP flask 1
Composite bowl 2
RP spouted dish 1
RP spouted bowl 1
RP bottle juglet with two spouts 1
RP double amphora with plank idol handle 1",2,"RP plank idol, anthropomorphic 1
RP double amphora with plank idol handle 1",4,"RP bottle juglet with two spouts 1
RP double amphora with plank idol handle 1
Composite bowl 2",5,"Copper based pin 2
Copper based ""arrowhead"" 1
Copper based knife 2",0,,0,,0,,1,BP spindle whorl 1,0,,3,"Spindle whorl 1
RP spindle whorl 2",0,,1,"RP plank idol, anthropomorphic 1",0,,0,0,,48,1,2,0,2,5,5,55,58,3,52,3
Bellapais Vounous,North,PreBA 2,77,ECII-III,0,,0,,55,"RP bowl 32
RP spouted bowl 5
Juglet or flask 1
RP spouted dish 2
RP amphora 1
RP conical bowl 1
RP jug 8
RP juglet 1
RP basin 1
Coarse ware amphora 1
Gourd flask 1
Amphora 1",0,,0,,1,Copper based pin 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,55,0,0,0,0,1,1,56,56,0,55,0
Bellapais Vounous,North,PreBA 2,78,ECIIIB,0,,0,,34,"RP bowl 11
RP spouted bowl 2
Coarse ware amphora 1
RP amphora 1
Amphora 3
RP dish 2
Dish 1
RP basin 3
Gourd flask 1
Gourd juglet 1
Spouted bowl 1
RP stemmed bowl 1
""Milk"" bowl 2
Jug 1
RP jug 2
Gourd juglet or flask 1",0,,1,RP stemmed bowl 1,4,"Copper based knife 2
Copper based pin 2",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,34,0,0,0,0,4,4,38,38,0,35,0
Bellapais Vounous,North,PreBA 2,"032, 032A",ECIII,1,"Side Chamber:
BP incised bowl 1",0,,44,"Side chamber:
RP BT small bowl 18
RP small bowl 1
RP spouted bowl 1
RP jug 2
RP juglet 6
RP bottle 2
RP bird shaped ""vase"" 1
RP cooking pot 1
RP composite with four cups 1
Chamber 32A:
RP BT small bowl 7
RP jug with snake ornament 2
RP lg jug with three horned animals, snakes 1
RP jug 1
RP cooking pot 1",4,"RP bird shaped ""vase"" 1
RP jug with snake ornament 2
RP lg jug with three horned animals, snakes 1",1,RP composite with four cups 1,1,Copper based knife 1,0,,0,,0,,0,,0,,1,Spindle whorl 1,0,,0,,0,,0,0,,45,0,1,0,4,1,1,46,47,1,46,1
